Date;Open;High;Low;Close
2020-04-06;1534.81;1585.04;1534.81;1581.05
2020-04-07;1602.14;1655.29;1602.14;1603.5
2020-04-08;1602.33;1619.63;1567.84;1579.18
2020-04-09;1596.79;1619.77;1579.72;1615.72
2020-04-14;1631.5;1664.53;1625.89;1662.4
2020-04-15;1669.23;1673.58;1602.31;1606.21
2020-04-16;1610.81;1617.55;1589.83;1597.9
2020-04-17;1618.42;1633.53;1612.01;1625.59
2020-04-20;1629.69;1643.87;1604.98;1640.06
2020-04-21;1631.4;1631.4;1572.05;1573.44
2020-04-22;1574.07;1609.82;1554.34;1605.12
2020-04-23;1609.41;1626.82;1589.64;1626.1
2020-04-24;1617.91;1627.49;1601.91;1601.91
2020-04-27;1614.29;1624.69;1580.48;1591.97
2020-04-28;1590.34;1622.8;1579.94;1594.25
2020-04-29;1601.65;1656.4;1600.78;1651.33
2020-04-30;1661.23;1682.13;1636.35;1648.68
2020-05-04;1630.24;1630.24;1597.7;1600.65
2020-05-05;1609.04;1616.34;1591.58;1598.84
2020-05-06;1604.6;1606.44;1565.07;1567.98
2020-05-07;1572.16;1602.76;1559.06;1587.35
2020-05-08;1600.54;1614.18;1599.51;1606.5
2020-05-11;1614.21;1619.36;1581.5;1587.31
2020-05-12;1589.69;1624.52;1584.01;1622.51
2020-05-13;1615.9;1634.77;1607;1614.32
2020-05-14;1605.68;1605.68;1559.52;1579.16
2020-05-15;1585.51;1597.04;1568.38;1572.55
2020-05-18;1585.92;1639.08;1585.92;1639.08
2020-05-19;1651.08;1658.34;1629.29;1640.18
2020-05-20;1640.26;1662.2;1634.44;1652.64
2020-05-21;1651.03;1653.92;1636.24;1637.84
2020-05-22;1632.27;1635.98;1617.76;1630.44
2020-05-25;1639.26;1650.39;1634.34;1644.74
2020-05-26;1657.26;1712.64;1657.26;1709.71
2020-05-27;1713.73;1763.02;1705.09;1707.59
2020-05-28;1722.43;1757.78;1694.6;1718.45
2020-05-29;1718.19;1722.65;1699.32;1722.65
2020-06-01;1733.13;1749.58;1722.77;1733.52
2020-06-02;1735.86;1739.48;1722.5;1736.36
2020-06-03;1741.91;1780.86;1741.36;1766.85
2020-06-04;1765.6;1786.58;1755.73;1786.58
2020-06-05;1794.38;1847.95;1794.38;1842.47
2020-06-08;1842.22;1852.69;1813.02;1841.25
2020-06-09;1848.11;1856.66;1811.96;1835.59
2020-06-10;1840.1;1846.29;1817.06;1841.18
2020-06-12;1792.35;1812.33;1754.16;1788.83
2020-06-15;1767.35;1767.35;1735.27;1741.47
2020-06-16;1765.17;1811.7;1765.17;1798
2020-06-17;1807.91;1812.65;1780.94;1787.81
2020-06-18;1787.9;1804.13;1780.45;1795.86
2020-06-19;1791.68;1809.23;1791.68;1807.85
2020-06-22;1805.25;1807.19;1786.99;1797.05
2020-06-23;1807.1;1847.33;1806.21;1825.99
2020-06-24;1830.39;1836.89;1784.23;1784.23
2020-06-25;1781.84;1798.8;1759.21;1793.36
2020-06-26;1799.33;1800.49;1759.37;1759.43
2020-06-29;1758.46;1771.21;1750.91;1769.47
2020-06-30;1770.24;1777.07;1754.41;1758.82
2020-07-01;1760.72;1774.79;1739.93;1772.38
2020-07-02;1778.45;1809.74;1778.45;1804.01
2020-07-03;1811.07;1812.22;1796.23;1800.96
2020-07-06;1820.81;1833.77;1808.34;1818.55
2020-07-07;1816.46;1816.46;1794.61;1800.93
2020-07-08;1797.88;1797.88;1780.87;1788.22
2020-07-09;1791.68;1802.31;1789.08;1791.68
2020-07-10;1781.84;1797.27;1772.5;1797.27
2020-07-13;1806.55;1814.47;1799.91;1801.64
2020-07-14;1797.85;1798.4;1763.64;1771.7
2020-07-15;1783.18;1798.58;1779.98;1794.78
2020-07-16;1791.04;1799.18;1780.17;1799.08
2020-07-17;1800.7;1800.7;1785.44;1796.04
2020-07-20;1795.09;1840.6;1789.04;1840.6
2020-07-21;1852.56;1884.22;1840.87;1845.34
2020-07-22;1844.74;1847;1830.61;1830.61
2020-07-23;1837.64;1842.84;1817.78;1820.25
2020-07-24;1809.5;1810.65;1790.53;1810.33
2020-07-27;1811.4;1833.8;1805.84;1830.87
2020-07-28;1831.03;1841.46;1806.06;1823.52
2020-07-29;1819.4;1828.24;1804.21;1824.53
2020-07-30;1827.17;1827.17;1762.74;1763.22
2020-07-31;1767.31;1793.13;1765.42;1767.54
2020-08-03;1769.31;1815.5;1768.56;1804.38
2020-08-04;1813.7;1831.17;1804.3;1811.46
2020-08-05;1819.96;1844.2;1819.96;1833.2
2020-08-06;1834.67;1841.68;1810.63;1818.64
2020-08-07;1818.62;1824.29;1809.07;1817.23
2020-08-10;1822.48;1832.65;1812.95;1823.15
2020-08-11;1830.21;1857.95;1822.13;1847.73
2020-08-12;1848.54;1856.84;1839.14;1855.86
2020-08-13;1856.65;1881.46;1854.78;1858.35
2020-08-14;1857.47;1857.47;1840.77;1856.56
2020-08-17;1856.46;1865.94;1844.3;1862.12
2020-08-18;1859.11;1859.11;1837.2;1840.33
2020-08-19;1838.62;1847.84;1831.01;1833.22
2020-08-20;1829.52;1829.52;1811.88;1815.03
2020-08-21;1824.52;1831.28;1813.79;1820.6
2020-08-24;1830.14;1843.75;1827.39;1841.46
2020-08-25;1847.98;1858.14;1820.34;1821.29
2020-08-26;1817.91;1848.77;1815.16;1848.35
2020-08-27;1846.42;1854.84;1833.9;1846.5
2020-08-28;1842.36;1850.46;1826.96;1829.79
2020-08-31;1832.66;1839.06;1793.96;1800.21
2020-09-01;1803.77;1807.77;1768.12;1772.61
2020-09-02;1777.15;1796.8;1777.15;1785.44
2020-09-03;1787.62;1805.22;1764.04;1769.19
2020-09-04;1754.65;1773.65;1743.89;1758.11
2020-09-07;1765.37;1780.44;1761.96;1772.85
2020-09-08;1778.86;1781.04;1720.07;1733.88
2020-09-09;1735.58;1775.98;1735.58;1773.37
2020-09-10;1776.48;1783.39;1751.06;1764.86
